report_id,timestamp,location,category,reported_severity,description,reporter_type
U272,15/09/26 22:36,Computer Lab C2,it,LOW,A desktop computer is repeatedly restarting in lab C2.,student
U273,2026-09-16T22:39,Residence R3 courtyard,cleaning,LOW,An overflowing bin is attracting insects.,lecturer
U274,2026-09-16T22:42,Academic Block A,electrical,LOW,A corridor light is flickering near room A14.,lecturer
U275,2026-09-16T22:45,Sports field south,medical,MEDIUM,A student reports a minor ankle injury and is requesting first aid.,staff
U276,2026-09-16T22:48,Main reception,accessibility,medium,A delivery vehicle is blocking the accessible drop-off point.,student
U277,2026-09-16T22:51,Humanities west stairs,facilities,MEDIUM,Loose handrail on the west stairwell.,lecturer
U278,2026-09-16T22:54,Computer Lab C2,it,LOW,A desktop computer is repeatedly restarting in lab C2.,student
U279,,Residence R3 courtyard,cleaning,LOW,An overflowing bin is attracting insects.,staff
U280,2026-09-16T23:00,Academic Block A,electrical,LOW,A corridor light is flickering near room A14.,student
U281,2026-09-16T23:03,Sports field south,medical,MEDIUM,A student reports a minor ankle injury and is requesting first aid.,student
U282,2026-09-16T23:06,Main reception,accessibility,MEDIUM,A delivery vehicle is blocking the accessible drop-off point.,student
U283,2026-09-16T23:09,Humanities west stairs,facilities,MEDIUM,Loose handrail on the west stairwell.,student
U284,2026-09-16T23:12,Computer Lab C2,it,LOW,A desktop computer is repeatedly restarting in lab C2.,student
U285,2026-09-16T23:15,Residence R3 courtyard,CLEANING,LOW,An overflowing bin is attracting insects.,staff
U286,2026-09-16T23:18,Academic Blk A,electrical,LOW,A corridor light is flickering near room A14.,lecturer
U287,2026-09-16T23:21,Sports field south,medical,MEDIUM,A student reports a minor ankle injury and is requesting first aid.,student
U288,2026-09-16T23:24,Main reception,accessibility,MEDIUM,A delivery vehicle is blocking the accessible drop-off point.,staff
U289,15/09/26 23:27,Humanities west stairs,facilities,MEDIUM,Loose handrail on the west stairwell.,lecturer
U290,2026-13-40 09:99,Computer Lab C2,it,LOW,A desktop computer is repeatedly restarting in lab C2.,staff
U291,2026-09-16T23:33,Residence R3 courtyard,cleaning,LOW,An overflowing bin is attracting insects.,student
U292,2026-09-16T23:36,Academic Block A,electrical,LOW,A corridor light is flickering near room A14.,student
U293,2026-09-16T23:39,Sports field south,medical,MEDIUM,A student reports a minor ankle injury and is requesting first aid.,staff
U294,2026-09-16T23:42,Main reception,accessibility,MEDIUM,A delivery vehicle is blocking the accessible drop-off point.,student
U295,2026-09-16T23:45,Humanities west stairs,facilities,MEDIUM,Loose handrail on the west stairwell.,student
U296,2026-09-16T23:48,Computer Lab C2,it,LOW,A desktop computer is repeatedly restarting in lab C2.,staff
U297,2026-09-16T23:51,Residence R3 courtyard,cleaning,LOW,An overflowing bin is attracting insects.,staff
U298,2026-09-16T23:54,Academic Block A,electrical,LOW,A corridor light is flickering near room A14.,staff
U299,2026-09-16T23:57,Sports field south,medical,medium,A student reports a minor ankle injury and is requesting first aid.,staff
U300,2026-09-17T00:00,Main reception,accessibility,MEDIUM,A delivery vehicle is blocking the accessible drop-off point.,lecturer
